seq,subj,item,cond,R1,R2,R3,R4,R5,R6,R7
3,4,11,clash_tap,0,753,106,189,230,902,0
3,4,11,0,0,0,0,0,0,0,0
157,4,12,match_tap,610,705,0,329,159,996,0
157,4,12,0,0,0,0,0,0,0,0
0,4,12,0,0,0,0,0,0,0,0
3,4,12,0,0,0,0,0,0,0,0
0,4,13,0,0,0,0,0,0,0,0
39,4,13,0,0,0,0,0,0,0,0
0,4,13,0,0,0,0,0,0,0,0
93,4,13,clash_this,471,0,110,773,162,494,0
39,4,14,0,0,0,0,0,0,0,0
39,4,14,match_this,0,0,232,168,267,1159,0
93,4,14,0,0,0,0,0,0,0,0
93,4,14,0,0,0,0,0,0,0,0
9,4,15,0,0,0,0,0,0,0,0
0,4,15,0,0,0,0,0,0,0,0
167,4,15,clash_tap,704,554,0,211,155,874,0
0,4,15,0,0,0,0,0,0,0,0
9,4,16,match_tap,536,0,216,0,181,607,0
9,4,16,0,0,0,0,0,0,0,0
167,4,16,0,0,0,0,0,0,0,0
167,4,16,0,0,0,0,0,0,0,0
0,4,17,0,0,0,0,0,0,0,0
143,4,17,0,0,0,0,0,0,0,0
27,4,17,0,0,0,0,0,0,0,0
27,4,17,clash_this,0,612,0,255,547,639,0
143,4,18,0,0,0,0,0,0,0,0
143,4,18,match_this,0,377,0,0,778,1328,0
0,4,18,0,0,0,0,0,0,0,0
27,4,18,0,0,0,0,0,0,0,0
147,4,19,0,0,0,0,0,0,0,0
147,4,19,0,0,0,0,0,0,0,0
107,4,19,clash_tap,1019,752,0,488,337,1058,0
107,4,19,0,0,0,0,0,0,0,0
147,4,20,match_tap,808,399,0,381,167,299,0
147,4,20,0,0,0,0,0,0,0,0
107,4,20,0,0,0,0,0,0,0,0
107,4,20,0,0,0,0,0,0,0,0
53,4,21,0,0,0,0,0,0,0,0
53,4,21,0,0,0,0,0,0,0,0
15,4,21,0,0,0,0,0,0,0,0
15,4,21,clash_this,1061,0,190,388,499,613,0
53,4,22,0,0,0,0,0,0,0,0
53,4,22,match_this,902,439,206,475,277,1746,0
0,4,22,0,0,0,0,0,0,0,0
15,4,22,0,0,0,0,0,0,0,0
173,4,23,0,0,0,0,0,0,0,0
0,4,23,0,0,0,0,0,0,0,0
43,4,23,clash_tap,774,655,0,335,217,479,0
43,4,23,0,0,0,0,0,0,0,0
173,4,24,match_tap,683,1124,0,257,180,330,0
173,4,24,0,0,0,0,0,0,0,0
43,4,24,0,0,0,0,0,0,0,0
43,4,24,0,0,0,0,0,0,0,0
0,4,25,0,0,0,0,0,0,0,0
87,4,25,0,0,0,0,0,0,0,0
121,4,25,0,0,0,0,0,0,0,0
121,4,25,clash_this,878,288,0,785,423,0,0
87,4,26,0,0,0,0,0,0,0,0
87,4,26,match_this,0,432,163,388,207,692,0
121,4,26,0,0,0,0,0,0,0,0
121,4,26,0,0,0,0,0,0,0,0
197,4,27,0,0,0,0,0,0,0,0
0,4,27,0,0,0,0,0,0,0,0
33,4,27,clash_tap,0,528,0,183,424,782,0
33,4,27,0,0,0,0,0,0,0,0
197,4,28,match_tap,0,1449,0,164,657,440,0
197,4,28,0,0,0,0,0,0,0,0
33,4,28,0,0,0,0,0,0,0,0
0,4,28,0,0,0,0,0,0,0,0
73,4,29,0,0,0,0,0,0,0,0
73,4,29,0,0,0,0,0,0,0,0
193,4,29,0,0,0,0,0,0,0,0
193,4,29,clash_this,1142,433,0,364,146,472,0
73,4,30,0,0,0,0,0,0,0,0
73,4,30,match_this,708,648,0,520,486,808,0
193,4,30,0,0,0,0,0,0,0,0
193,4,30,0,0,0,0,0,0,0,0
